Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000085063,CD59,1.935226582546731,0.061075285950041525,0.8018718996064017,1.8540100902936796,-0.061075285950041525,0.8018718996067197
ENSG00000110429,FBXO3,0.0992423888485503,1.3559424177371335,1.1408362405398939e-05,0.03881271123491016,-1.3559424177371335,1.1408362405398939e-05
ENSG00000135363,LMO2,0.07112371200812771,2.6216022929777507,1.2035859076727558e-10,0.011250061227510192,-2.6216022929777507,1.2035859076727558e-10
ENSG00000286626,AC090469.1,0.001654039814142505,1.5544880971192132,0.6309268503187934,0.0005625030613755096,-1.5544880971192132,0.6309268503187934
ENSG00000135387,CAPRIN1,0.32915392301435853,0.14849573744337685,0.5630706907800942,0.29756411946764455,-0.14849573744337685,0.5630706907800942
ENSG00000135372,NAT10,0.0661615925657002,0.34218449340634916,0.4390421468402344,0.0528752877692979,-0.34218449340634916,0.4390421468402344
ENSG00000166016,ABTB2,0.018194437955567556,-1.4604622443467585,0.0014649758390357075,0.05400029389204892,1.4604622443467585,0.0014649758390357075
ENSG00000121691,CAT,0.1323231851314004,0.8831108445805844,0.001195041326616124,0.07200039185606523,-0.8831108445805844,0.001195041326616124
ENSG00000149089,APIP,0.06781563237984271,-0.16171893688019479,0.8097070211429193,0.07706291940844481,0.16171893688019479,0.8097070211429193
ENSG00000110435,PDHX,0.07773987126469774,0.332095675782766,0.41953933465675025,0.06243783981268156,-0.332095675782766,0.41953933465675025
ENSG00000026508,CD44,0.9031057385218078,-0.4890265982309733,0.002000086585387083,1.2678819003403987,0.4890265982309733,0.002000086585387083
ENSG00000255004,AL133330.2,0.001654039814142505,2.554488097119213,0.41953933465675025,0.0,-2.554488097119213,0.41953933465675025
ENSG00000149090,PAMR1,0.041350995353562625,2.7954961966230085,2.714009852109719e-07,0.005625030613755096,-2.7954961966230085,2.714009852109719e-07
ENSG00000179431,FJX1,0.056237353680845176,3.6837711140641796,1.4423660519830962e-12,0.003937521429628567,-3.6837711140641796,1.4423660519830962e-12
ENSG00000166326,TRIM44,0.16871206104253553,0.5685632823309366,0.026564823433685106,0.11418812145922845,-0.5685632823309366,0.026564823433685106
ENSG00000179241,LDLRAD3,0.04962119442427515,-0.7104841129560726,0.04619891776548462,0.08325045308357543,0.7104841129560726,0.04619891776548462
